experiment_id,job_id,job_key,condition,workflow,run_id,task_id,repetition,category,answer_type,status,outcome,attempt_count,successful_attempt_count,selected_attempt_ended_at,final_answer,expected_answer,correct,grading_status,grader_extracted_answer,grader_reasoning,grader_confidence,contract_valid,error_reason,model_calls,input_tokens,output_tokens,reasoning_tokens,total_tokens,cost_usd,wall_time_ms
hle-representative-40-scaling-v1,job_0289cd8f75ad77bc92f668a5,debate-e-medium-a3-r1|668825f80a642802bdfeadfa|1,debate-e-medium-a3-r1,,,668825f80a642802bdfeadfa,1,Humanities/Social Science,multiple_choice,missing,missing,0,0,,,D,,not_available,,,,0,missing,0,0,0,0,0,0.0,0.0
hle-representative-40-scaling-v1,job_5955693b9d0360303cec642e,debate-e-medium-a3-r1|66ea814c5544860edb5aa9fa|1,debate-e-medium-a3-r1,,,66ea814c5544860edb5aa9fa,1,Chemistry,short_answer,missing,missing,0,0,,,1.776 * 10^-3,,not_available,,,,0,missing,0,0,0,0,0,0.0,0.0
hle-representative-40-scaling-v1,job_5d0de9341a815a8763e90f8c,debate-e-medium-a3-r1|66edf49c46d28f04618d6498|1,debate-e-medium-a3-r1,,,66edf49c46d28f04618d6498,1,Computer Science/AI,short_answer,missing,missing,0,0,,,4.73,,not_available,,,,0,missing,0,0,0,0,0,0.0,0.0
hle-representative-40-scaling-v1,job_53bd42cb8f55a95b577287f9,debate-e-medium-a3-r1|66f52a03c518a8eba1cf963e|1,debate-e-medium-a3-r1,,,66f52a03c518a8eba1cf963e,1,Math,short_answer,missing,missing,0,0,,,3/2,,not_available,,,,0,missing,0,0,0,0,0,0.0,0.0
hle-representative-40-scaling-v1,job_bde977cf811bef814e01ed5c,debate-e-medium-a3-r1|66f83aed0d92e99048a4ae9d|1,debate-e-medium-a3-r1,,,66f83aed0d92e99048a4ae9d,1,Biology/Medicine,multiple_choice,missing,missing,0,0,,,D,,not_available,,,,0,missing,0,0,0,0,0,0.0,0.0
hle-representative-40-scaling-v1,job_34eff27b12c0f90f85602c20,debate-e-medium-a3-r1|66fb60f0fce3673bfc606f35|1,debate-e-medium-a3-r1,,,66fb60f0fce3673bfc606f35,1,Computer Science/AI,multiple_choice,missing,missing,0,0,,,F,,not_available,,,,0,missing,0,0,0,0,0,0.0,0.0
hle-representative-40-scaling-v1,job_46905b3b4771a224c026f191,debate-e-medium-a3-r1|66fb75ded83ed7a299fdd136|1,debate-e-medium-a3-r1,,,66fb75ded83ed7a299fdd136,1,Humanities/Social Science,multiple_choice,missing,missing,0,0,,,A,,not_available,,,,0,missing,0,0,0,0,0,0.0,0.0
hle-representative-40-scaling-v1,job_a09d8ad8fe51324432f319ae,debate-e-medium-a3-r1|66fc550fd90ebe461bfd0c94|1,debate-e-medium-a3-r1,,,66fc550fd90ebe461bfd0c94,1,Computer Science/AI,short_answer,missing,missing,0,0,,,7,,not_available,,,,0,missing,0,0,0,0,0,0.0,0.0
hle-representative-40-scaling-v1,job_124fc6ff3bca14b4a3785607,debate-e-medium-a3-r1|66fd08fb8a146dd80cfb22c0|1,debate-e-medium-a3-r1,,,66fd08fb8a146dd80cfb22c0,1,Math,short_answer,missing,missing,0,0,,,142550893797972739664870582906490524117043564169034167276752220620,,not_available,,,,0,missing,0,0,0,0,0,0.0,0.0
hle-representative-40-scaling-v1,job_a5d5f01d9059789a51a425d3,debate-e-medium-a3-r1|6700b2f1fa64315ed5204e61|1,debate-e-medium-a3-r1,,,6700b2f1fa64315ed5204e61,1,Math,short_answer,missing,missing,0,0,,,2357947691,,not_available,,,,0,missing,0,0,0,0,0,0.0,0.0
