experiment_id,job_id,job_key,condition,workflow,run_id,task_id,repetition,category,answer_type,status,outcome,attempt_count,successful_attempt_count,selected_attempt_ended_at,final_answer,expected_answer,correct,grading_status,grader_extracted_answer,grader_reasoning,grader_confidence,contract_valid,error_reason,model_calls,input_tokens,output_tokens,reasoning_tokens,total_tokens,cost_usd,wall_time_ms
hle-smoke-5-paid-e2e-v1,job_cb100bec7f21d6f79330f830,debate-e-low-a2-r1|66ea814c5544860edb5aa9fa|job:job_cb100bec7f21d6f79330f830,debate-e-low-a2-r1,debate,afdeee82-20fa-46b3-84f4-2d658f939aa6,66ea814c5544860edb5aa9fa,1,Chemistry,short_answer,success,completed_valid,1,1,2026-06-13T02:27:28.264442Z,\(s \approx 1.8\times10^{-3}\ \text{mol L}^{-1}\),1.776 * 10^-3,True,graded,\(s \approx 1.8\times10^{-3}\ \text{mol L}^{-1}\),"The extracted answer 1.8×10^-3 mol L^-1 is very close to the given correct answer 1.776×10^-3 mol L^-1, differing only by rounding. This is within a small margin of error for a numerical result, so it matches the correct answer.",100,1,correct,5,4707,5977,3548,10684,0.0094456,26999.98429196421
hle-smoke-5-paid-e2e-v1,job_28f83c64d1ce9d777b081d2c,debate-e-low-a2-r1|670147f7dc193e3fa8260419|job:job_28f83c64d1ce9d777b081d2c,debate-e-low-a2-r1,debate,93130998-4e62-42c8-9444-98e868788ed6,670147f7dc193e3fa8260419,1,Math,short_answer,success,completed_valid,1,1,2026-06-13T02:27:19.064373Z,4,3,False,graded,4,"The extracted final answer is 4, which does not match the correct answer 3. These are different values, so the response is incorrect.",100,1,shared_reasoning_error,5,2651,3081,1774,5732,0.005044150000000001,20936.733999988064
hle-smoke-5-paid-e2e-v1,job_4d39ac53a0b35f1ca6abb294,debate-e-low-a2-r1|6702db18a423c5b9f9c1c49c|job:job_4d39ac53a0b35f1ca6abb294,debate-e-low-a2-r1,debate,12d4439b-e502-4755-b56e-0ec19ae7d2f2,6702db18a423c5b9f9c1c49c,1,Physics,short_answer,success,completed_valid,1,1,2026-06-13T02:27:32.710094Z,"Yes—exotic-ammonia would still show ammonia inversion tunneling; changing the protons’ nuclear spin from \(1/2\) to \(0\) alters exchange-symmetry/selection rules and the detailed level pattern, but it does not remove the inversion pathway because the potential barrier and nuclear masses governing the tunneling are essentially the same.",no,False,graded,"Yes—exotic-ammonia would still show ammonia inversion tunneling; changing the protons’ nuclear spin from \(1/2\) to \(0\) alters exchange-symmetry/selection rules and the detailed level pattern, but it does not remove the inversion pathway because the potential barrier and nuclear masses governing the tunneling are essentially the same.","The extracted answer says ""Yes,"" but the correct answer is ""no."" These are directly contradictory, so the response does not match the required answer.",100,1,shared_reasoning_error,5,2676,1809,484,4485,0.00368795,13637.061959016137
hle-smoke-5-paid-e2e-v1,job_ca63a15f321a09040cefa5c7,debate-e-low-a2-r1|670f00dc79750a6c73259f4d|job:job_ca63a15f321a09040cefa5c7,debate-e-low-a2-r1,debate,b72d3ab3-9aa5-43cd-94a1-6d0bab5ae17a,670f00dc79750a6c73259f4d,1,Biology/Medicine,multiple_choice,success,completed_valid,1,1,2026-06-13T02:27:01.251850Z,D,E,False,graded,D,"The extracted final answer is D, which does not match the correct answer E. This is a direct mismatch, so the response is incorrect.",100,1,shared_reasoning_error,5,1203,826,440,2029,0.00192865,6994.098583003506
hle-smoke-5-paid-e2e-v1,job_53502177f5db2ed25f1cfe8b,debate-e-low-a2-r1|671f449c879059a81a74468c|job:job_53502177f5db2ed25f1cfe8b,debate-e-low-a2-r1,debate,3e4b75a9-d79e-45f1-8123-1f1f0ad61f16,671f449c879059a81a74468c,1,Other,multiple_choice,success,completed_valid,1,1,2026-06-13T02:26:58.118849Z,B,D,False,graded,B,"The extracted final answer is B, but the correct answer is D. These do not match, so the response is incorrect.",100,1,shared_reasoning_error,4,878,789,435,1667,0.00116185,4647.380167036317
hle-smoke-5-paid-e2e-v1,job_ad9108e511102fd4570b4059,sample-e-low-a3|66ea814c5544860edb5aa9fa|job:job_ad9108e511102fd4570b4059,sample-e-low-a3,independent_sample,a41fa99f-b4aa-41df-9484-57bee087dfd3,66ea814c5544860edb5aa9fa,1,Chemistry,short_answer,success,completed_valid,1,1,2026-06-13T02:26:54.250412Z,1.8\times 10^{-3}\ \text{mol L}^{-1},1.776 * 10^-3,True,graded,1.8\times 10^{-3}\ \text{mol L}^{-1},"The extracted answer is 1.8×10^-3 mol L^-1, while the correct answer is 1.776×10^-3 mol L^-1. These values are numerically very close, differing only by a small rounding amount, so they match within a reasonable margin of error.",100,1,correct,4,3046,7841,5344,10887,0.012308850000000001,38089.174999971874
hle-smoke-5-paid-e2e-v1,job_d38083a45d2f855a88e3d595,sample-e-low-a3|670147f7dc193e3fa8260419|job:job_d38083a45d2f855a88e3d595,sample-e-low-a3,independent_sample,1a780ae8-6b43-42ae-ac94-b7b10f394e6b,670147f7dc193e3fa8260419,1,Math,short_answer,success,completed_valid,1,1,2026-06-13T02:26:44.025559Z,**4**,3,False,graded,4,"The extracted final answer is 4, which does not match the correct answer 3. This is a direct numerical discrepancy, so the response is incorrect.",100,1,model_error,4,1705,5563,4321,7268,0.0083135,28047.06079198513
hle-smoke-5-paid-e2e-v1,job_10b0239be0c52e7a0df19654,sample-e-low-a3|6702db18a423c5b9f9c1c49c|job:job_10b0239be0c52e7a0df19654,sample-e-low-a3,independent_sample,fed1ad6c-8b13-4a60-b882-386732185886,6702db18a423c5b9f9c1c49c,1,Physics,short_answer,success,completed_valid,1,1,2026-06-13T02:26:53.463036Z,"Yes. Replacing the hydrogens with spin‑0 “protons” would not stop ammonia’s inversion tunneling, because tunneling depends mainly on the masses and the inversion potential, which are unchanged. What would change are the nuclear‑spin symmetry/selection rules and thus the detailed spectroscopy (allowed levels and transition intensities), not the existence of tunneling.",no,False,graded,"Yes. Replacing the hydrogens with spin‑0 “protons” would not stop ammonia’s inversion tunneling, because tunneling depends mainly on the masses and the inversion potential, which are unchanged. What would change are the nuclear‑spin symmetry/selection rules and thus the detailed spectroscopy (allowed levels and transition intensities), not the existence of tunneling.","The extracted final answer says the molecule would still exhibit tunneling, but the provided correct_answer is ""no."" These are direct opposites, so the response does not match the correct answer.",100,1,model_error,4,1671,1882,613,3553,0.0040195000000000005,9424.378915980924
hle-smoke-5-paid-e2e-v1,job_002bcd451fed2554cf9b6920,sample-e-low-a3|670f00dc79750a6c73259f4d|job:job_002bcd451fed2554cf9b6920,sample-e-low-a3,independent_sample,4ac462c6-e95a-44ee-9516-17720f061243,670f00dc79750a6c73259f4d,1,Biology/Medicine,multiple_choice,success,completed_valid,1,1,2026-06-13T02:26:16.154093Z,C,E,False,graded,C,"The extracted answer is C, but the correct answer is E. These do not match, so the response is incorrect.",100,1,model_error,3,339,318,116,657,0.00046530000000000003,2498.834625002928
hle-smoke-5-paid-e2e-v1,job_a56ca69fd57a3080acb74f5d,sample-e-low-a3|671f449c879059a81a74468c|job:job_a56ca69fd57a3080acb74f5d,sample-e-low-a3,independent_sample,9b4b8a83-d350-41ef-a395-10cae9eb3561,671f449c879059a81a74468c,1,Other,multiple_choice,success,completed_valid,1,1,2026-06-13T02:26:13.648770Z,B,D,False,graded,B,"The extracted final answer is B, but the correct answer is D. These do not match, so the response is incorrect.",100,1,model_error,3,318,744,533,1062,0.0009935999999999999,4549.1479999618605
